Plot,Slope,Aspect,Facing,Elevation,X,Y,Abundance,DensBA,Red maple,Sugar maple,Chestnut oak,Bitternut hickory,Flowering dogwood,White oak,Pignut hickory,Beech,Northern red oak,Shagbark hickory,Mockernut hickory,Black oak
1,19,155,S,253.31,-82.1222,39.325801,26,0.771801,3,17,3,2,1,0,0,0,0,0,0,0
2,13,160,S,223.28,-82.12162,39.325568,25,2.437668,1,15,1,0,0,4,3,1,0,0,0,0
3,19,184,S,229.07,-82.121287,39.325039,24,2.718365667,0,15,1,0,0,4,1,0,1,1,1,0
4,25,356,N,234.72,-82.120534,39.325676,20,1.315873667,0,15,0,0,0,3,1,0,1,0,0,0
5,6,120,E,243.80,-82.121442,39.325923,28,1.055250556,0,23,0,0,0,1,0,0,1,1,2,0
6,11,82,E,224.88,-82.121549,39.324527,29,2.836893111,0,16,0,0,0,8,0,0,1,3,1,0
7,17,83,E,221.65,-82.12029,39.325296,26,3.474149444,0,19,1,0,0,6,0,0,0,0,0,0
8,17,39,N,221.92,-82.11929,39.32451,25,0.8443212222,0,24,0,0,0,1,0,0,0,0,0,0
9,9,182,S,244.58,-82.122299,39.324803,21,2.588750667,0,14,0,0,0,5,0,1,1,0,0,0
10,19,82,E,216.31,-82.120174,39.324696,19,1.531284667,0,13,0,0,0,3,0,0,0,0,2,1